100 10 100 10 100
20 11 50 26 5 3 6 32 40 22 4 20 50 27 49 44 1 37 35 27 14 33 6 22 23 48 44 14 26 9 46 44 15 32 31 8 39 27 39 27 1 17 1 47 44 42 16 3 44 48 5 25 4 39 39 7 24 28 14 44 22 11 27 37 11 16 50 33 22 26 7 12 17 30 12 12 4 32 12 46 43 4 12 34 11 7 47 29 24 40 41 10 5 22 22 24 37 34 50 5
1013 3
0 170
1 22
2 224
696 2
0 7
1 50
1114 3
1 202
4 175
5 2
464 2
1 24
8 25
522 5 
3 216
5 155
6 139
7 208
8 145
27 4 340
1 1 449
24 4 279
0 2 924
8 4 862
3 4 214
0 4 59
2 3 986
7 2 785
0 4 424
89 1 297
31 0 585
0 1 961
8 0 186
81 2 120
0 4 584
32 2 717
8 2 396
34 3 752
13 0 459
7 0 214
0 3 158
7 1 116
5 1 554
17 2 605
2 4 906
0 4 277
99 0 772
26 4 10
1 0 884
10 1 128
3 3 899
3 2 103
54 4 621
0 1 930
15 0 737
0 3 931
0 2 817
0 4 306
26 0 194
0 3 865
46 1 435
6 3 577
10 2 709
65 0 926
16 3 70
10 3 849
1 3 409
